Time,Num,AvgCPU,AvgMEM,AvgNetI,AvgNetO,sawtooth-validator-default-3-CPU,sawtooth-validator-default-3-mem,sawtooth-validator-default-3-netI,sawtooth-validator-default-3-netO,sawtooth-validator-default-2-CPU,sawtooth-validator-default-2-mem,sawtooth-validator-default-2-netI,sawtooth-validator-default-2-netO,sawtooth-validator-default-1-CPU,sawtooth-validator-default-1-mem,sawtooth-validator-default-1-netI,sawtooth-validator-default-1-netO,sawtooth-validator-default-0-CPU,sawtooth-validator-default-0-mem,sawtooth-validator-default-0-netI,sawtooth-validator-default-0-netO,sawtooth-validator-default-4-CPU,sawtooth-validator-default-4-mem,sawtooth-validator-default-4-netI,sawtooth-validator-default-4-netO
22:21:07,5,0.15,0.50,42200,39980,0.12,0.46,37600.000,30200.000,0.13,0.45,40200.000,32400.000,0.13,0.45,39700.000,30100.000,0.25,0.51,49800.000,72000.000,0.13,0.62,43700.000,35200.000
22:21:18,5,0.29,0.49,45280,40980,0.71,0.45,40700.000,31200.000,0.14,0.45,43200.000,33400.000,0.13,0.45,42600.000,31100.000,0.26,0.50,53300.000,73000.000,0.23,0.58,46600.000,36200.000
22:21:28,5,8.36,0.52,107000,117600,7.92,0.49,105000.000,103000.000,8.97,0.49,109000.000,105000.000,7.95,0.49,103000.000,103000.000,8.49,0.53,105000.000,170000.000,8.49,0.61,113000.000,107000.000
22:21:38,5,8.93,0.53,300200,373800,9.44,0.50,308000.000,343000.000,8.66,0.50,304000.000,349000.000,8.57,0.49,304000.000,345000.000,9.34,0.54,261000.000,487000.000,8.63,0.62,324000.000,345000.000
22:21:48,5,8.36,0.54,489400,625200,8.48,0.51,505000.000,580000.000,8.11,0.50,498000.000,586000.000,8.25,0.50,506000.000,579000.000,8.41,0.55,408000.000,802000.000,8.56,0.62,530000.000,579000.000
22:21:58,5,8.01,0.53,682600,881400,9.02,0.51,705000.000,821000.000,7.29,0.51,691000.000,832000.000,7.38,0.51,713000.000,817000.000,8.56,0.54,565000.000,1120000.000,7.79,0.60,739000.000,817000.000
22:22:08,5,9.04,0.54,870000,1128000,8.34,0.51,902000.000,1050000.000,8.96,0.51,884000.000,1060000.000,9.56,0.52,908000.000,1050000.000,9.08,0.54,714000.000,1430000.000,9.24,0.60,942000.000,1050000.000
22:22:18,5,9.99,0.53,1055000,1374000,9.85,0.52,1090000.000,1280000.000,9.77,0.51,1070000.000,1300000.000,9.93,0.52,1110000.000,1290000.000,10.23,0.54,865000.000,1730000.000,10.17,0.58,1140000.000,1270000.000
22:22:28,5,32.19,0.67,1952000,2470000,31.77,0.64,1800000.000,2060000.000,30.83,0.64,1990000.000,2340000.000,29.28,0.66,1890000.000,2360000.000,38.60,0.69,1910000.000,3310000.000,30.45,0.70,2170000.000,2280000.000
22:22:38,5,31.99,0.70,4252000,5340000,30.98,0.69,4100000.000,4920000.000,32.46,0.69,4120000.000,4920000.000,28.45,0.69,3940000.000,4970000.000,35.34,0.73,4480000.000,7140000.000,32.70,0.72,4620000.000,4750000.000
22:22:48,5,25.16,0.75,6600000,8266000,25.26,0.74,6110000.000,7600000.000,21.82,0.73,6260000.000,7530000.000,25.04,0.74,6280000.000,7660000.000,31.08,0.77,7210000.000,11300000.000,22.60,0.76,7140000.000,7240000.000
22:22:58,5,28.63,0.77,8944000,11210000,29.38,0.76,8250000.000,10300000.000,27.08,0.76,8530000.000,10200000.000,26.89,0.76,8420000.000,10300000.000,31.97,0.80,9820000.000,15400000.000,27.82,0.78,9700000.000,9850000.000
